poi_name,g_lat,g_lng,projected_tm_x,projected_tm_y,poi_type,search_region,vworld_address,vworld_verified
이페메라,37.5415864,127.0614547,961258.3579,1949230.3878,cafe,성수동 카페,,False
헨리스플랏 Henrys flat,37.5383311,127.0579354,960945.759,1948870.6869,cafe,성수동 카페,,False
스케줄성수,37.54446170000001,127.0554135,960726.1763,1949551.8923,establishment,성수동 식당,,False
사위식당 성수,37.5444119,127.0526329,960480.5164,1949547.5324,establishment,성수동 식당,,False
문화식당 성수점,37.5423066,127.0538122,960583.5855,1949313.4663,establishment,성수동 식당,,False
이태리국시 성수(ITALYGUKSI SEONGSU),37.5460471,127.0467101,959958.1804,1949731.4547,establishment,성수동 식당,,False
성수AGU | 성수 레스토랑 | Seongsu Restaurants | 성수 맛집 | 성수동 맛집 | レストラン | 聖水洞美食 | ソンス,37.5482477,127.0485034,960117.7666,1949974.8367,bar,성수동 식당,,False
성수다락 | 성수 레스토랑 | Seongsu Restaurants | 성수 맛집 | レストラン | 聖水洞美食,37.5398972,127.0562192,960794.9604,1949045.1508,establishment,성수동 식당,,False
대낚식당 성수점 | 성수 맛집 | Seongsu Restaurants | Daenakk Restaurant,37.54341970000001,127.0539427,960595.6998,1949436.9037,establishment,성수동 식당,,False
SZIMPATIKUS Restaurant Seongsu (심퍼티쿠시 성수점),37.5477995,127.0450789,959815.0266,1949926.5697,bar,성수동 식당,,False
리타르단도(Ritardando),37.5390795,127.0544956,960642.2613,1948955.1517,establishment,성수동 식당,,False
탐광,37.5431748,127.0554194,960726.0224,1949409.1156,establishment,성수동 식당,,False
성수완당 본점,37.5406724,127.0661424,961672.0094,1949127.0637,establishment,성수동 식당,,False
미도인 성수,37.5431987,127.0548443,960675.2307,1949412.0075,establishment,성수동 식당,,False
난포 성수,37.5470208,127.0427327,959607.3562,1949841.1826,establishment,성수동 식당,,False
희릿,37.5426033,127.0485903,960122.4363,1949348.5853,bar,성수동 식당,,False
꿉당 성수점,37.5432243,127.057537,960913.1167,1949413.7249,establishment,성수동 식당,,False
백옥 성수,37.5410836,127.0563205,960804.5307,1949176.7328,establishment,성수동 식당,,False
노이,37.5398161,127.0559919,960774.8374,1949036.248,establishment,성수동 식당,,False
호호식당 성수점,37.5471059,127.0438979,959710.3304,1949850.124,establishment,성수동 식당,,False
바오서울 성수,37.5405405,127.061294,961243.62,1949114.4174,establishment,성수동 식당,,False
세스크멘슬,37.5410226,127.0563968,960811.2393,1949169.9334,establishment,성수동 식당,,False
팝업스토어,37.5423587,127.0577552,960931.9407,1949317.6008,establishment,성수동 팝업스토어,,False
마플샵 팝업스토어,37.5447534,127.049521,960205.7977,1949586.7325,establishment,성수동 팝업스토어,,False
XYZ SEOUL,37.5420716,127.0576498,960922.4798,1949285.7925,establishment,성수동 팝업스토어,,False
라브아 성수 팝업스토어,37.5432038,127.0530005,960512.3524,1949413.3461,establishment,성수동 팝업스토어,,False
29CM KIDS,37.5451649,127.0524753,960466.9919,1949631.1398,establishment,성수동 팝업스토어,,False
팝업스토어,37.541194,127.0602544,961152.1177,1949187.3485,establishment,성수동 팝업스토어,,False
아도르 성수,37.5440178,127.0589915,961042.0198,1949501.1556,establishment,성수동 팝업스토어,,False
Babe 팝업스토어,37.5480804,127.0426556,959601.1174,1949958.7725,establishment,성수동 팝업스토어,,False
무신사 테라스 성수,37.5444502,127.0553861,960723.7498,1949550.6279,clothing_store,성수동 팝업스토어,,False
알로소 팝업스토어,37.5483951,127.0453181,959836.4758,1949992.546,cafe,성수동 팝업스토어,,False
ICC 성수 서울숲 팝업 스토어 장소 대관,37.5469714,127.0400323,959368.7886,1949836.8656,establishment,성수동 팝업스토어,,False
포인트 오브 뷰,37.5434188,127.051374,960368.7815,1949437.8835,establishment,성수동 팝업스토어,,False
NOT4NERD Seongsu Flagship Store(낫포너드 성수 플래그십 스토어),37.5432554,127.0586229,961009.0611,1949416.7244,clothing_store,성수동 팝업스토어,,False
EQL SEONGSU GROVE,37.542928,127.0588309,961027.2653,1949380.315,clothing_store,성수동 팝업스토어,,False
로에베 퍼퓸 성수 팝업스토어,37.5433815,127.0517036,960397.8785,1949433.6064,clothing_store,성수동 팝업스토어,,False
모나미스토어 성수점,37.5444502,127.0553861,960723.7498,1949550.6279,establishment,성수동 팝업스토어,,False
STAND OIL Flagship Store,37.5437096,127.0574581,960906.4001,1949467.599,establishment,성수동 팝업스토어,,False
EPT 성수점,37.5411808,127.0611888,961234.6578,1949185.4984,establishment,성수동 팝업스토어,,False
포셋 성수,37.5478189,127.0413106,959482.1665,1949930.3394,establishment,성수동 팝업스토어,,False
버니몽아모르 팝업 스토어,37.5423649,127.0559171,960769.5648,1949319.054,clothing_store,성수동 팝업스토어,,False
카페&펍 연무장,37.5429081,127.0533107,960539.5996,1949380.4096,cafe,연무장길 카페,,False
로우키 성수,37.5441954,127.0515838,960387.7261,1949523.9544,cafe,연무장길 카페,,False
카페데이지크(dasique,37.5436043,127.0524371,960462.7933,1949458.0161,cafe,연무장길 카페,,False
RSG 성수,37.5425871,127.0599986,961130.2431,1949342.0107,cafe,연무장길 카페,,False
성수동 대림창고 갤러리,37.5418384,127.0564636,960817.5675,1949260.4139,cafe,연무장길 카페,,False
Frolla,37.5412734,127.0609456,961213.221,1949195.8722,cafe,연무장길 카페,,False
Highline seongsu (하이라인),37.5389944,127.0499414,960239.8768,1948947.6263,cafe,연무장길 카페,,False
파케파케 성수,37.542302,127.0537711,960579.9523,1949312.9731,cafe,연무장길 카페,,False
아쿠아산타Acqua Santa Coffee & Cake & Dessert Cafe 圣水阿库亚圣塔咖啡甜点店 アクアサンタ コーヒー・ケーキ・デザートカフェ,37.541642,127.0582107,960971.8064,1949237.8979,cafe,연무장길 카페,,False
옹근달카페,37.5426793,127.0529857,960510.7683,1949355.162,cafe,연무장길 카페,,False
업사이드커피,37.5419619,127.0579137,960945.7358,1949273.5123,cafe,연무장길 카페,,False
테니,37.5411799,127.0593105,961068.7242,1949186.1746,cafe,연무장길 카페,,False
클래식 해례커피,37.5428026,127.0522781,960448.3238,1949369.1389,cafe,연무장길 카페,,False
천상가옥,37.5415624,127.0571205,960875.4547,1949229.5198,cafe,연무장길 카페,,False
레이더,37.5435964,127.054027,960603.2398,1949456.4722,cafe,연무장길 카페,,False
엘레멘츠 성수,37.5417204,127.0566811,960836.72,1949247.2319,cafe,연무장길 카페,,False
베이커리 카페 루프,37.5441995,127.0522969,960450.7225,1949524.1091,cafe,연무장길 카페,,False
도렐 성수점,37.5436759,127.0545425,960648.8206,1949465.0764,cafe,연무장길 카페,,False
마를리,37.5428169,127.054796,960670.7633,1949369.6692,cafe,연무장길 카페,,False
베통,37.54294470000001,127.0552259,960708.8079,1949383.6681,bakery,연무장길 카페,,False
미디엄스톤,37.5465252,127.0465314,959942.6505,1949784.5733,cafe,뚝섬역 카페,,False
파머스카페,37.5460053,127.0460921,959903.566,1949727.0806,cafe,뚝섬역 카페,,False
포어플랜,37.5482373,127.047502,960029.3035,1949974.1082,establishment,뚝섬역 카페,,False
5TO7,37.5460839,127.043323,959658.9957,1949736.9854,cafe,뚝섬역 카페,,False
로우커피스탠드,37.5471333,127.0466301,959951.6946,1949851.9966,cafe,뚝섬역 카페,,False
어반누크 성수,37.5466861,127.0433202,959659.0729,1949803.7973,cafe,뚝섬역 카페,,False
로우키 성수,37.5441954,127.0515838,960387.7261,1949523.9544,cafe,뚝섬역 카페,,False
오우도,37.5454262,127.0494961,960203.9557,1949661.3864,cafe,뚝섬역 카페,,False
라바트리 서울숲 - LAVATREE SEOUL FOREST,37.5478073,127.0448057,959790.8979,1949927.5518,bar,뚝섬역 카페,,False
스탠드업플리즈바이턴온,37.5446995,127.0518624,960412.6038,1949579.7641,cafe,뚝섬역 카페,,False
미니멈커피,37.5463174,127.0490737,960167.1163,1949760.4389,cafe,뚝섬역 카페,,False
커피식탁,37.5451454,127.0486846,960132.1205,1949630.577,cafe,뚝섬역 카페,,False
크로우 krow coffee bar,37.5462424,127.0471079,959993.425,1949752.9528,cafe,뚝섬역 카페,,False
까치화방 카페 성수점 CACHI CAFE SEONGSU 聖水駅カフェ 圣水站咖啡厅,37.5456143,127.0648276,961558.3939,1949675.876,bakery,뚝섬역 카페,,False
따우전드 성수점,37.5446246,127.0503043,960274.9245,1949572.1116,cafe,뚝섬역 카페,,False
오버도즈 도넛앤커피 (OVDZ DONUT),37.5465581,127.046834,959969.3985,1949788.0945,bakery,뚝섬역 카페,,False
무브모브 성수 CAFE move.mov カフェ ムーブモーブ聖水,37.5453842,127.0502864,960273.7463,1949656.3925,cafe,뚝섬역 카페,,False
이리데센트,37.5471452,127.0431783,959646.7855,1949854.7928,cafe,뚝섬역 카페,,False
구욱희씨,37.5470443,127.0419176,959535.3668,1949844.1404,bakery,뚝섬역 카페,,False
체다앤올리,37.54578180000001,127.0424604,959582.6335,1949703.8395,cafe,뚝섬역 카페,,False
미쁘동 서울숲,37.5474873,127.0401528,959379.713,1949894.0498,establishment,서울숲역 맛집,,False
파이프그라운드 서울숲,37.5443796,127.0438576,959705.303,1949547.6736,cafe,서울숲역 맛집,,False
연남토마 성수,37.5470052,127.0423617,959574.5754,1949839.6114,establishment,서울숲역 맛집,,False
할머니의 레시피,37.546133,127.0431495,959643.6958,1949742.5072,establishment,서울숲역 맛집,,False
부우이 성수,37.5469061,127.0401915,959382.8162,1949829.5521,establishment,서울숲역 맛집,,False
서울로인 서울숲점,37.5457822,127.0424788,959584.2592,1949703.876,establishment,서울숲역 맛집,,False
벨라스가든 서울숲점,37.5431788,127.0449642,959802.4136,1949413.9779,establishment,서울숲역 맛집,,False
밸런스포케 서울숲점,37.5469396,127.0438022,959701.7872,1949831.715,establishment,서울숲역 맛집,,False
최가네샤브버섯칼국수 성수직영점,37.5475639,127.0428104,959614.5129,1949901.4032,establishment,서울숲역 맛집,,False
갓잇 서울숲점,37.5470152,127.0458323,959881.1574,1949839.2342,establishment,서울숲역 맛집,,False
희릿,37.5426033,127.0485903,960122.4363,1949348.5853,bar,서울숲역 맛집,,False
스시도쿠 더 성수,37.5476275,127.0430461,959635.3677,1949908.358,establishment,서울숲역 맛집,,False
온량,37.5468691,127.0434697,959672.3776,1949824.036,establishment,서울숲역 맛집,,False
버섯집,37.5466489,127.0440995,959727.8929,1949799.3361,establishment,서울숲역 맛집,,False
미테이블 성수본점,37.5465226,127.045351,959838.3774,1949784.7884,establishment,서울숲역 맛집,,False
성수옥서울숲점,37.542575,127.0519572,960419.8551,1949344.023,establishment,서울숲역 맛집,,False
소랑호젠,37.5426627,127.0451987,959822.8523,1949356.6193,establishment,서울숲역 맛집,,False
쎄콩데 LIVE,37.5465526,127.0422814,959567.2376,1949789.4325,bar,서울숲역 맛집,,False
호호식당 성수점,37.5471059,127.0438979,959710.3304,1949850.124,establishment,서울숲역 맛집,,False
차만다 성수,37.5465544,127.0414424,959493.1247,1949789.9933,establishment,서울숲역 맛집,,False
